day_of_trial,error_rate_control,error_rate_test
0,"0,2809917355371901","0,6232876712328768"
1,"0,2127659574468085","0,5892857142857143"
2,"0,08333333333333333","0,5"
3,"0,14814814814814814","0,36666666666666664"
4,"0,17857142857142858","0,41935483870967744"
5,"0,1","0,5333333333333333"
6,"0,09523809523809523","0,3235294117647059"
7,"0,18699186991869918","0,4723926380368098"
8,"0,3114754098360656","0,352112676056338"
9,"0,3023255813953488","0,38461538461538464"
10,"0,3125","0,325"
11,"0,14705882352941177","0,48"
12,"0,21428571428571427","0,2894736842105263"
13,"0,34285714285714286","0,44680851063829785"
14,"0,28576329331046313","0,4591051581647193"
15,"0,24803921568627452","0,45716510903426794"
16,"0,2302936630602782","0,47686832740213525"
17,"0,25","0,3980891719745223"
18,"0,22830440587449932","0,40162271805273836"
19,"0,1946624803767661","0,441834451901566"
20,"0,23393739703459637","0,4503239740820734"
21,"0,2802056555269923","0,42000697107005924"
22,"0,3053132434575734","0,3180722891566265"
23,"0,2786540483701367","0,29910269192422734"
24,"0,28867235079171744","0,295369211514393"
25,"0,2516930022573363","0,27804295942720764"
26,"0,26124567474048443","0,46780551905387646"
27,"0,20971867007672634","0,5490909090909091"
28,"0,28711727325245523","0,47690811861934856"
29,"0,2503276539973788","0,49430051813471504"
30,"0,208984375","0,43794579172610554"
31,"0,25769230769230766","0,5056179775280899"
32,"0,2722222222222222","0,44154228855721395"
33,"0,226890756302521","0,4434389140271493"
34,"0,2631578947368421","0,45681818181818185"
35,"0,276707530647986","0,4684615384615385"
36,"0,2052313883299799","0,4024390243902439"
37,"0,22857142857142856","0,4323607427055703"
38,"0,22707423580786026","0,48055555555555557"
39,"0,21754385964912282","0,5199004975124378"
40,"0,2013888888888889","0,547112462006079"
41,"0,2882882882882883","0,417910447761194"
42,"0,17901234567901234","0,44715447154471544"
43,"0,24468085106382978","0,5473251028806584"
44,"0,22448979591836735","0,3891402714932127"
45,"0,3076923076923077","0,21052631578947367"
46,"0,42857142857142855","0,35294117647058826"
47,"0,1908713692946058","0,49836065573770494"
48,"0,1945945945945946","0,5142857142857142"
49,"0,27564102564102566","0,6294642857142857"
50,"0,2894736842105263","0,3605150214592275"
51,"0,1504424778761062","0,39751552795031053"
52,"0,23214285714285715","0,42857142857142855"
53,"0,24848484848484848","0,42857142857142855"
54,"0,19852941176470587","0,43601895734597157"
55,"0,46632124352331605","0,532967032967033"
56,"0,4229390681003584","0,3248175182481752"
57,"0,5517241379310345","0,5096153846153846"
58,"0,37","0,45695364238410596"
59,"0,45","0,4225352112676056"
60,"0,41935483870967744","0,4354066985645933"
61,"0,47520661157024796","0,5694444444444444"
62,"0,3211009174311927","0,5030674846625767"
63,"0,4020100502512563","0,46060606060606063"
64,"0,35172413793103446","0,42483660130718953"
65,"0,27218934911242604","0,43283582089552236"
66,"0,36199095022624433","0,38202247191011235"
67,"0,33852140077821014","0,6217616580310881"
68,"0,29777777777777775","0,5229885057471264"
69,"0,2962962962962963","0,31952662721893493"
70,"0,38509316770186336","0,4"
71,"0,4144736842105263","0,3584905660377358"
72,"0,5775862068965517","0,29591836734693877"
73,"0,3111111111111111","0,43157894736842106"
74,"0,4661016949152542","0,4253731343283582"
75,"0,43209876543209874","0,5192307692307693"
76,"0,5181347150259067","0,4011627906976744"
77,"0,38235294117647056","0,45"
78,"0,4207650273224044","0,4180790960451977"
79,"0,461038961038961","0,3696969696969697"
80,"0,39344262295081966","0,24528301886792453"
81,"0,5472636815920398","0,29775280898876405"
82,"0,4421052631578947","0,43005181347150256"
83,"0,3626373626373626","0,4222222222222222"
84,"0,463855421686747","0,3192771084337349"
85,"0,4394904458598726","0,344"
86,"0,45569620253164556","0,43795620437956206"
87,"0,39805825242718446","0,6694915254237288"
88,"0,4742857142857143","0,5465116279069767"
89,"0,4759036144578313","0,4144736842105263"
90,"0,4556213017751479","0,39416058394160586"
91,"0,46794871794871795","0,40384615384615385"
92,"0,5071428571428571","0,2169811320754717"
93,"0,44166666666666665","0,6842105263157895"
94,"0,45045045045045046","0,4305555555555556"
95,"0,32947976878612717","0,38345864661654133"
96,"0,41397849462365593","0,3515151515151515"
97,"0,47767857142857145","0,4049079754601227"
