age,Average Time (seconds),Variation
17.0,165.5,Test
17.5,172.53846153846155,Test
18.0,123.39473684210526,Test
18.5,177.90123456790124,Test
19.0,139.91803278688525,Test
19.5,191.5157894736842,Test
20.0,129.26582278481013,Test
20.5,200.11570247933884,Test
21.0,135.13333333333333,Test
21.5,194.62048192771084,Test
22.0,119.32394366197182,Test
22.5,189.97391304347826,Test
23.0,131.8121212121212,Test
23.5,196.62820512820514,Test
24.0,132.87922705314008,Test
24.5,191.8832807570978,Test
25.0,140.81716417910448,Test
25.5,191.38251366120218,Test
26.0,129.09865470852017,Test
26.5,200.54972375690608,Test
27.0,137.00363636363636,Test
27.5,183.70438799076211,Test
28.0,133.25283018867924,Test
28.5,176.7906976744186,Test
29.0,128.5523465703971,Test
29.5,197.875,Test
30.0,133.69108280254778,Test
30.5,184.30900243309003,Test
31.0,133.53495440729483,Test
31.5,188.91283292978207,Test
32.0,108.54054054054055,Test
32.5,191.49740932642487,Test
33.0,124.57831325301204,Test
33.5,201.97084548104957,Test
34.0,132.47636363636363,Test
34.5,184.66666666666666,Test
35.0,135.9963503649635,Test
35.5,187.33827893175075,Test
36.0,129.1015625,Test
36.5,199.77707006369425,Test
37.0,134.8015873015873,Test
37.5,191.95652173913044,Test
38.0,144.8375,Test
38.5,200.72360248447205,Test
39.0,137.24242424242425,Test
39.5,194.35294117647058,Test
40.0,126.7719298245614,Test
40.5,214.86641221374046,Test
41.0,139.41116751269035,Test
41.5,199.0392857142857,Test
42.0,156.21544715447155,Test
42.5,222.77272727272728,Test
43.0,145.33039647577093,Test
43.5,209.79829545454547,Test
44.0,169.08984375,Test
44.5,193.3323076923077,Test
45.0,145.3896551724138,Test
45.5,227.2168284789644,Test
46.0,161.09638554216866,Test
46.442240133722414,148.42857142857142,Test
46.5,213.52380952380952,Test
47.0,169.57456140350877,Test
47.5,224.4268292682927,Test
48.0,163.73931623931625,Test
48.5,226.19444444444446,Test
49.0,163.47252747252747,Test
49.5,223.6127320954907,Test
50.0,171.58510638297872,Test
50.5,217.21354166666666,Test
51.0,195.10416666666666,Test
51.5,214.68170426065163,Test
52.0,179.25732899022802,Test
52.5,222.19347826086957,Test
53.0,173.86094674556213,Test
53.5,241.90531177829098,Test
54.0,169.97790055248618,Test
54.5,239.70990566037736,Test
55.0,174.352,Test
55.5,221.28644501278774,Test
56.0,193.17717717717719,Test
56.5,243.44300518134716,Test
57.0,163.75263157894736,Test
57.5,237.49086757990867,Test
58.0,188.84444444444443,Test
58.5,222.78555304740405,Test
59.0,203.6464968152866,Test
59.5,227.62471395881008,Test
60.0,202.65109034267914,Test
60.5,232.810551558753,Test
61.0,181.61128526645768,Test
61.5,231.51344743276283,Test
62.0,202.2574850299401,Test
62.5,211.54140127388536,Test
63.0,205.61,Test
63.5,226.19893899204243,Test
64.0,178.24460431654677,Test
64.5,224.5778364116095,Test
65.0,202.36092715231788,Test
65.5,200.95388349514562,Test
66.0,174.6541095890411,Test
66.5,205.77272727272728,Test
67.0,155.11746987951807,Test
67.5,211.54107648725213,Test
68.0,167.92041522491348,Test
68.5,227.21226415094338,Test
69.0,166.39884393063585,Test
69.5,204.78536585365853,Test
70.0,173.48850574712642,Test
70.5,229.59154929577466,Test
71.0,191.83908045977012,Test
71.5,208.6931216931217,Test
72.0,199.25842696629215,Test
72.5,186.36805555555554,Test
73.0,189.95454545454547,Test
73.5,227.53125,Test
