trial_day,error_rate,error_rate_mvg_average,variation,visit_count
0,0.2809917355371901,,Control,121
1,0.2127659574468085,,Control,47
2,0.08333333333333333,,Control,24
3,0.14814814814814814,,Control,27
4,0.17857142857142858,,Control,28
5,0.1,,Control,30
6,0.09523809523809523,,Control,21
7,0.18699186991869918,,Control,123
8,0.3114754098360656,,Control,61
9,0.3023255813953488,0.21889177989625797,Control,43
10,0.3125,0.21434813488781468,Control,32
11,0.14705882352941177,0.21546242118190873,Control,34
12,0.21428571428571427,0.22582412234999602,Control,28
13,0.34285714285714286,0.2340959694715447,Control,105
14,0.28576329331046313,0.23936347577673991,Control,2911
15,0.24803921568627452,0.24929359950261976,Control,1019
16,0.2302936630602782,0.2575280682931061,Control,647
17,0.25,0.2614361632837264,Control,467
18,0.22830440587449932,0.2560805454016559,Control,746
19,0.1946624803767661,0.25528010813097735,Control,636
20,0.23393739703459637,0.25200787939399727,Control,606
21,0.2802056555269923,0.25526711894508086,Control,2327
22,0.3053132434575734,0.25755167649279626,Control,1261
23,0.2786540483701367,0.25383404909095836,Control,947
24,0.28867235079171744,0.250735494511593,Control,820
25,0.2516930022573363,0.25153121446162285,Control,885
26,0.26124567474048443,0.253974049597818,Control,578
27,0.20971867007672634,0.2516178068783433,Control,390
28,0.28711727325245523,0.25163186070449745,Control,1727
29,0.2503276539973788,0.25333774256929187,Control,761
30,0.208984375,0.2524749248121616,Control,510
31,0.25769230769230766,0.24832667393647198,Control,520
32,0.2722222222222222,0.24743062366440435,Control,539
33,0.226890756302521,0.24218632352276628,Control,474
34,0.2631578947368421,0.23987098143182484,Control,323
35,0.276707530647986,0.23843923372977377,Control,1140
36,0.2052313883299799,0.24088379335881704,Control,497
37,0.22857142857142856,0.2524023595953804,Control,277
38,0.22707423580786026,0.24733678570286202,Control,229
39,0.21754385964912282,0.24440346678692598,Control,285
40,0.2013888888888889,0.24791171155750633,Control,287
41,0.2882882882882883,0.24958441558478092,Control,222
42,0.17901234567901234,0.24317495535603798,Control,162
43,0.24468085106382978,0.2434513817160556,Control,188
44,0.22448979591836735,0.24267911612384546,Control,196
45,0.3076923076923077,0.23856447828788335,Control,26
46,0.42857142857142855,0.25230604961384845,Control,28
47,0.1908713692946058,0.262535925378529,Control,241
48,0.1945945945945946,0.2796227623323803,Control,185
49,0.27564102564102566,0.28764676971926856,Control,156
50,0.2894736842105263,0.300731565040906,Control,152
51,0.1504424778761062,0.3076298045367686,Control,113
52,0.23214285714285715,0.32321897642578096,Control,111
53,0.24848484848484848,0.32724108518195794,Control,165
54,0.19852941176470587,0.3365842564626363,Control,136
55,0.46632124352331605,0.338901721212043,Control,193
56,0.4229390681003584,0.33067108545104285,Control,279
57,0.5517241379310345,0.3396773791842869,Control,232
58,0.37,0.34725247424658245,Control,200
59,0.45,0.3484175664643063,Control,158
60,0.41935483870967744,0.3487766513109258,Control,217
61,0.47520661157024796,0.3611266876175446,Control,241
62,0.3211009174311927,0.3707230469368956,Control,218
63,0.4020100502512563,0.3880441710638273,Control,199
64,0.35172413793103446,0.39396952366100657,Control,145
65,0.27218934911242604,0.3939579684711086,Control,169
66,0.36199095022624433,0.3944400578043581,Control,221
67,0.33852140077821014,0.39267219344093035,Control,257
68,0.29777777777777775,0.3933223482396919,Control,225
69,0.2962962962962963,0.39178366546718685,Control,215
70,0.38509316770186336,0.39397756664241235,Control,161
71,0.4144736842105263,0.3896741988203371,Control,152
72,0.5775862068965517,0.4015775021972238,Control,116
73,0.3111111111111111,0.4036877765607311,Control,90
74,0.4661016949152542,0.4042621568084326,Control,118
75,0.43209876543209874,0.41434984483865994,Control,162
76,0.5181347150259067,0.41842876566148246,Control,193
77,0.38235294117647056,0.42459586049061077,Control,170
78,0.4207650273224044,0.4298737802090005,Control,182
79,0.461038961038961,0.4392416443137068,Control,154
80,0.39344262295081966,0.44402114151138933,Control,183
81,0.5472636815920398,0.4461868055937378,Control,201
82,0.4421052631578947,0.4404164114385886,Control,190
83,0.3626373626373626,0.45073387175604895,Control,182
84,0.463855421686747,0.4494478176377023,Control,166
85,0.4394904458598726,0.4504136957965629,Control,156
86,0.45569620253164556,0.44048448809973234,Control,158
87,0.39805825242718446,0.44214899091274207,Control,103
88,0.4742857142857143,0.4451444406025404,Control,175
89,0.4759036144578313,,Control,166
90,0.4556213017751479,,Control,168
91,0.46794871794871795,,Control,154
92,0.5071428571428571,,Control,140
93,0.44166666666666665,,Control,119
94,0.45045045045045046,,Control,111
95,0.32947976878612717,,Control,173
96,0.41397849462365593,,Control,186
97,0.47767857142857145,,Control,223
0,0.6232876712328768,,Test,146
1,0.5892857142857143,,Test,56
2,0.5,,Test,34
3,0.36666666666666664,,Test,30
4,0.41935483870967744,,Test,31
5,0.5333333333333333,,Test,30
6,0.3235294117647059,,Test,34
7,0.4723926380368098,,Test,163
8,0.352112676056338,,Test,71
9,0.38461538461538464,0.43677426390414287,Test,39
10,0.325,0.42722409446565285,Test,40
11,0.48,0.41991031866546125,Test,50
12,0.2894736842105263,0.41570015924809595,Test,38
13,0.44680851063829785,0.413142560431778,Test,188
14,0.4591051581647193,0.40681350007464906,Test,3504
15,0.45716510903426794,0.3942890726104943,Test,1283
16,0.47686832740213525,0.3918950488032576,Test,841
17,0.3980891719745223,0.39165362148836635,Test,626
18,0.40162271805273836,0.40202089691123843,Test,986
19,0.441834451901566,0.40687840922723656,Test,893
20,0.4503239740820734,0.41578896281327415,Test,925
21,0.42000697107005924,0.4135755834304376,Test,2864
22,0.3180722891566265,0.42495159886820416,Test,1243
23,0.29910269192422734,0.4246744292849892,Test,1002
24,0.295369211514393,0.42384989011985386,Test,797
25,0.27804295942720764,0.4238316307926915,Test,837
26,0.46780551905387646,0.42338916821687056,Test,760
27,0.5490909090909091,0.423618107817698,Test,550
28,0.47690811861934856,0.4252358985888998,Test,2052
29,0.49430051813471504,0.4272738514127939,Test,959
30,0.43794579172610554,0.4309357736986026,Test,700
31,0.5056179775280899,0.4376255363794458,Test,710
32,0.44154228855721395,0.4428801763060019,Test,802
33,0.4434389140271493,0.450672375233396,Test,662
34,0.45681818181818185,0.46393321162109413,Test,439
35,0.4684615384615385,0.4697804385719366,Test,1298
36,0.4024390243902439,0.45623942787381017,Test,571
37,0.4323607427055703,0.4459157577358986,Test,375
38,0.48055555555555557,0.44704483863686467,Test,358
39,0.5199004975124378,0.44809669106586464,Test,399
40,0.547112462006079,0.45817661180208463,Test,327
41,0.417910447761194,0.4505396141142497,Test,335
42,0.44715447154471544,0.4482224161875706,Test,246
43,0.5473251028806584,0.44743991695305896,Test,243
44,0.3891402714932127,0.44595324572954564,Test,220
45,0.21052631578947367,0.4442457414603053,Test,19
46,0.35294117647058826,0.4511156366485574,Test,51
47,0.49836065573770494,0.4454554669402734,Test,305
48,0.5142857142857142,0.4469849316276328,Test,245
49,0.6294642857142857,0.44367193925245746,Test,224
50,0.3605150214592275,0.43711524184516937,Test,232
51,0.39751552795031053,0.43803609715061154,Test,161
52,0.42857142857142855,0.44447241151375505,Test,182
53,0.42857142857142855,0.4421430631864877,Test,196
54,0.43601895734597157,0.44590442050821655,Test,211
55,0.532967032967033,0.45718390921967517,Test,182
56,0.3248175182481752,0.46138889050519805,Test,274
57,0.5096153846153846,0.45526582819848266,Test,208
58,0.45695364238410596,0.4609224568166603,Test,151
59,0.4225352112676056,0.455318468397336,Test,142
60,0.4354066985645933,0.4531611844899522,Test,209
61,0.5694444444444444,0.45329194617677804,Test,216
62,0.5030674846625767,0.44960347972763626,Test,162
63,0.46060606060606063,0.44262173966318946,Test,165
64,0.42483660130718953,0.4423880549275288,Test,152
65,0.43283582089552236,0.43672521815707227,Test,134
66,0.38202247191011235,0.4469574945245773,Test,176
67,0.6217616580310881,0.4412494632657505,Test,193
68,0.5229885057471264,0.44088348208763956,Test,174
69,0.31952662721893493,0.44064894970751284,Test,169
70,0.4,0.4371905429250063,Test,115
71,0.3584905660377358,0.4201294152630843,Test,106
72,0.29591836734693877,0.40932337970130467,Test,98
73,0.43157894736842106,0.40771526143106473,Test,95
74,0.4253731343283582,0.40757766253185596,Test,134
75,0.5192307692307693,0.40160088819176193,Test,156
76,0.4011627906976744,0.3995997054596507,Test,172
77,0.45,0.38992573421483356,Test,139
78,0.4180790960451977,0.3976364194609705,Test,177
79,0.3696969696969697,0.4095829984445517,Test,164
80,0.24528301886792453,0.4103447712977373,Test,158
81,0.29775280898876405,0.41222214066109886,Test,177
82,0.43005181347150256,0.41790255047684705,Test,193
83,0.4222222222222222,0.4066079286193234,Test,135
84,0.3192771084337349,0.42023094925024074,Test,166
85,0.344,0.41556383274101905,Test,125
86,0.43795620437956206,0.4146320356841173,Test,137
87,0.6694915254237288,0.4094486226059673,Test,118
88,0.5465116279069767,0.4087554057330687,Test,172
89,0.4144736842105263,,Test,152
90,0.39416058394160586,,Test,137
91,0.40384615384615385,,Test,156
92,0.2169811320754717,,Test,106
93,0.6842105263157895,,Test,95
94,0.4305555555555556,,Test,72
95,0.38345864661654133,,Test,132
96,0.3515151515151515,,Test,165
97,0.4049079754601227,,Test,162
