,trial_day,error_rate,variation
0,0,"0,2809917355371901",Control
1,1,"0,2127659574468085",Control
2,2,"0,08333333333333333",Control
3,3,"0,14814814814814814",Control
4,4,"0,17857142857142858",Control
5,5,"0,1",Control
6,6,"0,09523809523809523",Control
7,7,"0,18699186991869918",Control
8,8,"0,3114754098360656",Control
9,9,"0,3023255813953488",Control
10,10,"0,3125",Control
11,11,"0,14705882352941177",Control
12,12,"0,21428571428571427",Control
13,13,"0,34285714285714286",Control
14,14,"0,28576329331046313",Control
15,15,"0,24803921568627452",Control
16,16,"0,2302936630602782",Control
17,17,"0,25",Control
18,18,"0,22830440587449932",Control
19,19,"0,1946624803767661",Control
20,20,"0,23393739703459637",Control
21,21,"0,2802056555269923",Control
22,22,"0,3053132434575734",Control
23,23,"0,2786540483701367",Control
24,24,"0,28867235079171744",Control
25,25,"0,2516930022573363",Control
26,26,"0,26124567474048443",Control
27,27,"0,20971867007672634",Control
28,28,"0,28711727325245523",Control
29,29,"0,2503276539973788",Control
30,30,"0,208984375",Control
31,31,"0,25769230769230766",Control
32,32,"0,2722222222222222",Control
33,33,"0,226890756302521",Control
34,34,"0,2631578947368421",Control
35,35,"0,276707530647986",Control
36,36,"0,2052313883299799",Control
37,37,"0,22857142857142856",Control
38,38,"0,22707423580786026",Control
39,39,"0,21754385964912282",Control
40,40,"0,2013888888888889",Control
41,41,"0,2882882882882883",Control
42,42,"0,17901234567901234",Control
43,43,"0,24468085106382978",Control
44,44,"0,22448979591836735",Control
45,45,"0,3076923076923077",Control
46,46,"0,42857142857142855",Control
47,47,"0,1908713692946058",Control
48,48,"0,1945945945945946",Control
49,49,"0,27564102564102566",Control
50,50,"0,2894736842105263",Control
51,51,"0,1504424778761062",Control
52,52,"0,23214285714285715",Control
53,53,"0,24848484848484848",Control
54,54,"0,19852941176470587",Control
55,55,"0,46632124352331605",Control
56,56,"0,4229390681003584",Control
57,57,"0,5517241379310345",Control
58,58,"0,37",Control
59,59,"0,45",Control
60,60,"0,41935483870967744",Control
61,61,"0,47520661157024796",Control
62,62,"0,3211009174311927",Control
63,63,"0,4020100502512563",Control
64,64,"0,35172413793103446",Control
65,65,"0,27218934911242604",Control
66,66,"0,36199095022624433",Control
67,67,"0,33852140077821014",Control
68,68,"0,29777777777777775",Control
69,69,"0,2962962962962963",Control
70,70,"0,38509316770186336",Control
71,71,"0,4144736842105263",Control
72,72,"0,5775862068965517",Control
73,73,"0,3111111111111111",Control
74,74,"0,4661016949152542",Control
75,75,"0,43209876543209874",Control
76,76,"0,5181347150259067",Control
77,77,"0,38235294117647056",Control
78,78,"0,4207650273224044",Control
79,79,"0,461038961038961",Control
80,80,"0,39344262295081966",Control
81,81,"0,5472636815920398",Control
82,82,"0,4421052631578947",Control
83,83,"0,3626373626373626",Control
84,84,"0,463855421686747",Control
85,85,"0,4394904458598726",Control
86,86,"0,45569620253164556",Control
87,87,"0,39805825242718446",Control
88,88,"0,4742857142857143",Control
89,89,"0,4759036144578313",Control
90,90,"0,4556213017751479",Control
91,91,"0,46794871794871795",Control
92,92,"0,5071428571428571",Control
93,93,"0,44166666666666665",Control
94,94,"0,45045045045045046",Control
95,95,"0,32947976878612717",Control
96,96,"0,41397849462365593",Control
97,97,"0,47767857142857145",Control
98,0,"0,6232876712328768",Test
99,1,"0,5892857142857143",Test
100,2,"0,5",Test
101,3,"0,36666666666666664",Test
102,4,"0,41935483870967744",Test
103,5,"0,5333333333333333",Test
104,6,"0,3235294117647059",Test
105,7,"0,4723926380368098",Test
106,8,"0,352112676056338",Test
107,9,"0,38461538461538464",Test
108,10,"0,325",Test
109,11,"0,48",Test
110,12,"0,2894736842105263",Test
111,13,"0,44680851063829785",Test
112,14,"0,4591051581647193",Test
113,15,"0,45716510903426794",Test
114,16,"0,47686832740213525",Test
115,17,"0,3980891719745223",Test
116,18,"0,40162271805273836",Test
117,19,"0,441834451901566",Test
118,20,"0,4503239740820734",Test
119,21,"0,42000697107005924",Test
120,22,"0,3180722891566265",Test
121,23,"0,29910269192422734",Test
122,24,"0,295369211514393",Test
123,25,"0,27804295942720764",Test
124,26,"0,46780551905387646",Test
125,27,"0,5490909090909091",Test
126,28,"0,47690811861934856",Test
127,29,"0,49430051813471504",Test
128,30,"0,43794579172610554",Test
129,31,"0,5056179775280899",Test
130,32,"0,44154228855721395",Test
131,33,"0,4434389140271493",Test
132,34,"0,45681818181818185",Test
133,35,"0,4684615384615385",Test
134,36,"0,4024390243902439",Test
135,37,"0,4323607427055703",Test
136,38,"0,48055555555555557",Test
137,39,"0,5199004975124378",Test
138,40,"0,547112462006079",Test
139,41,"0,417910447761194",Test
140,42,"0,44715447154471544",Test
141,43,"0,5473251028806584",Test
142,44,"0,3891402714932127",Test
143,45,"0,21052631578947367",Test
144,46,"0,35294117647058826",Test
145,47,"0,49836065573770494",Test
146,48,"0,5142857142857142",Test
147,49,"0,6294642857142857",Test
148,50,"0,3605150214592275",Test
149,51,"0,39751552795031053",Test
150,52,"0,42857142857142855",Test
151,53,"0,42857142857142855",Test
152,54,"0,43601895734597157",Test
